country,AverageHeightBoysAge19,AverageHeightGirlsAge19,AverageHeightBoysAge15,AverageHeightGirlsAge15,AverageHeightBoysAge10,AverageHeightGirlsAge10,AverageHeightBoysAge5,AverageHeightGirlsAge5
Micronesia,169.57,159.66,165.33,157.8,137.47,138.55,111.29,110.8
Tonga,175.11,166.08,169.29,164.07,142.24,144.46,117.76,116.4
Saint Vincent and the Grenadines,177.49,165.3,173.24,163.7,146.96,144.52,122.27,116.49
Antigua and Barbuda,178.84,165.72,173.52,163,145.61,142.94,119.43,114.74
Andorra,178.84,165.53,172.09,162.92,143.11,142.86,116.3,114.35
Dominica,180.15,166.89,174.34,165.7,145.31,146.09,118.32,117.74
Bermuda,179.72,166.11,173.56,163.88,145.28,144.33,118.85,116.24
Greenland,173.84,161.4,169.2,160.98,141.4,142.22,115.17,113.67
Saint Kitts and Nevis,173.71,162.78,172.41,162.82,146.82,144.5,122.26,116.09
American Samoa,177.09,167.55,171.42,164.77,142.72,144.53,115.78,116.06
Marshall Islands,165.26,154.76,160.38,154.5,132.78,136.59,106.98,109.1
Palau,170.62,159.52,167.6,159.53,140.11,141.43,114.08,113.47
Cook Islands,178.32,167.31,174,166.21,145.74,146.12,119.25,117.87
Nauru,169.57,157.82,166.63,157.12,139.3,138.4,113.42,110.69
Tuvalu,171.3,163.57,166.91,161.87,139.28,142.45,113.02,114.45
Tokelau,176.06,166.08,170.99,164.12,141.79,143.87,114.53,115.57
Niue,177.19,167.03,174.08,164.77,146.22,144.96,119.94,116.94
